geneID,KEGGID,S2_1,S2_2,S2_3,CPSF1_1,CPSF1_2,CPSF1_3
gene1679,MMP1638,532,221,351,369,341,347
gene168,MMP0148,3340,2480,4164,2438,1986,2287
gene1680,MMP1639,170,56,81,181,141,146
gene1681,MMP1640,12849,8392,10034,2931,2521,2374
gene1682,MMP1641,768,332,487,619,516,592
gene1683,MMP1642,1128,577,880,1441,1277,1282
gene1684,MMP1643,4679,2832,3712,3913,3442,3523
gene1685,MMP1644,2929,977,1844,5007,4514,4548
gene1686,MMP1645,547,140,317,3546,3104,3140
gene1687,MMP1646,3655,1316,2271,1808,1498,1557
gene1688,MMP1647,17950,8298,12870,20861,19355,19176
gene1689,MMP1648,1382,525,943,6741,6167,6344
gene169,MMP0149,1053,452,676,375,390,411
gene1690,MMP1649,181,85,117,116,98,114
gene1691,MMP1650,49,39,59,34,32,30
gene1692,MMP1651,306,236,281,61,81,73
gene1693,MMP1652,2967,1732,2504,327,288,302
gene1694,MMP1653,3125,1080,1914,5057,4683,4705
gene1695,MMP1654,770,335,514,1190,1134,1172
gene1696,MMP1655,728,252,422,1173,1107,1155
gene1697,MMP1656,572,303,497,500,464,550
gene1698,--,0,0,0,0,1,0
gene1699,--,0,0,0,0,0,0
gene17,MMP0012,176,35,101,110,102,95
gene170,MMP0150,3600,1463,2313,4942,4081,4338
gene1700,--,0,0,0,0,0,0
gene1701,--,0,0,0,0,0,0
gene1702,--,4,6,0,15,12,11
gene1703,--,0,0,0,1,0,1
gene1704,MMP1657,1835,797,1227,1852,1783,1921
gene1705,MMP1658,12407,6116,9017,9182,8124,8550
gene1706,MMP1659,1588,808,1217,1929,1807,1722
gene1707,MMP1660,374,196,259,302,307,332
gene1708,MMP1661,238,27,116,253,186,245
gene1709,MMP1662,1018,919,1225,694,707,692
gene171,MMP0151,72,16,28,539,501,544
gene1710,MMP1663,1479,920,1416,1079,1027,1048
gene1711,MMP1664,314,157,233,160,92,134
gene1712,MMP1665,297,113,200,993,917,971
gene1713,MMP1666,141,101,95,10964,9844,9772
gene1714,MMP1667,210,130,124,13313,11365,11914
gene1715,MMP1668,254,98,123,8694,7334,7723
gene1716,MMP1669,165,52,114,4971,4026,4540
gene1717,MMP1670,317,183,237,7917,6562,6988
gene1718,MMP1671,198,90,132,3386,2612,2978
gene1719,MMP1672,33,8,24,642,549,685
gene172,MMP0152,2029,1287,1584,14983,14211,13225
gene1720,MMP1673,52,26,24,611,500,561
gene1721,MMP1674,47,7,25,542,510,536
gene1722,MMP1675,322,192,245,2522,2326,2430
gene1723,MMP1676,441,223,297,2669,2318,2452
gene1724,MMP1677,772,342,615,446,443,493
gene1725,MMP1678,318,132,187,603,547,614
gene1726,MMP1679,1727,518,1119,1985,1687,1854
gene1727,MMP1680,2977,1612,2197,2038,1912,1869
gene1728,MMP1681,3523,1389,2355,3117,2731,2768
gene1729,MMP1682,1482,815,1136,2253,1992,2019
gene173,MMP0153,3447,1991,2769,1841,1980,1993
gene1730,MMP1683,1665,411,839,1894,1705,1772
gene1731,MMP1684,338,94,145,1483,1451,1510
gene1732,MMP1685,5568,3443,4100,5681,5292,5442
gene1733,--,32,7,13,58,47,65
gene1734,MMP1686,2757,1831,2282,1869,1787,1773
gene1735,MMP1687,93,59,54,30,29,47
gene1736,MMP1688,1419,541,950,920,834,876
gene1737,MMP1689,1064,565,761,1541,1447,1425
gene1738,MMP1690,249,126,158,647,601,604
gene1739,MMP1691,79728,50413,65613,39819,34945,34677
gene174,MMP0154,1906,1002,1393,1698,1721,1759
gene1740,MMP1692,75656,52563,67670,37570,34896,34300
gene1741,MMP1693,4599,4141,3361,1897,1724,2083
gene1742,MMP1694,78436,58232,70757,37547,34750,33973
gene1743,MMP1695,59384,35203,48474,27975,25028,24625
gene1744,MMP1696,20068,9683,15278,9038,8078,8095
gene1745,MMP1697,151915,143982,148106,68416,63848,62862
gene1746,MMP1698,1195,395,742,7388,6750,6721
gene1747,MMP1699,696,576,382,218,233,228
gene1748,MMP1700,4768,3205,2721,2141,1895,1893
gene1749,MMP1701,2003,782,1405,1127,1064,1153
gene175,MMP0155,3493,1521,2208,5829,5193,5729
gene1750,MMP1702,4479,2605,3399,2342,2303,2375
gene1751,--,4,0,3,3,2,2
gene1752,MMP1703,1813,567,1131,980,903,967
gene1753,MMP1704,2292,1584,2084,9138,8559,8701
gene1754,MMP1705,1815,827,1212,6140,5589,5926
gene1755,MMP1706,4,1,1,5,7,3
gene1756,MMP1707,10352,5798,8107,26676,25499,24635
gene1757,MMP1708,1339,298,520,1607,1346,1527
gene1758,MMP1709,1697,1035,1539,1282,1236,1476
gene1759,MMP1710,902,408,603,909,747,905
gene176,MMP0156,18212,11460,15355,14590,13902,13917
gene1760,MMP1711,3192,2184,2704,2534,2333,2460
gene1761,MMP1712,3702,1986,2822,2848,2465,2447
gene1762,MMP1713,765,293,475,921,759,853
gene1763,MMP1714,2735,1326,1991,2364,1889,2270
gene1764,MMP1715,1993,1239,1694,1767,1450,1713
gene1765,MMP1716,8872,6617,7932,7870,7002,7595
gene1766,MMP1717,1079,470,622,2257,2102,2275
gene1767,MMP1718,341,123,178,633,581,617
gene1768,MMP1719,550,207,362,4825,4372,4882
gene1769,MMP1720,8392,5584,7382,5286,5228,5451
gene177,MMP0157,2676,1211,1778,1940,1777,1874
gene1770,MMP1721,3709,1830,2851,1887,1818,1971
gene1771,MMP1722,1269,683,1047,1627,1482,1612
gene178,MMP0158,9510,3936,6384,7459,6498,6567
gene179,MMP0159,75,23,36,404,358,370
gene18,MMP0013,3354,1704,2472,2391,2201,2346
gene180,MMP0160,3702,2974,3399,1826,1771,1739
gene181,MMP0161,370,181,257,405,357,406
gene182,MMP0162,2697,1322,1968,513,431,433
gene183,MMP0163,25141,16785,20671,9776,9890,9732
gene184,MMP0164,5918,5564,5989,4156,4040,3886
gene185,MMP0165,278,96,206,267,189,223
gene186,MMP0166,634,398,529,521,463,443
gene187,MMP0167,231,137,187,212,169,165
gene188,MMP0168,142,72,111,123,120,126
gene189,MMP0169,1317,783,1275,820,744,799
gene19,MMP0014,1219,621,952,1249,1197,1240
gene190,MMP0170,875,483,708,461,423,430
gene191,MMP0171,734,413,623,497,461,414
gene192,MMP0172,597,240,376,281,236,286
gene193,MMP0173,702,294,554,856,682,681
gene194,MMP0174,2011,941,1379,3419,3256,3289
gene195,MMP0175,378,135,216,330,268,279
gene196,MMP0176,15183,10104,12581,14304,14517,14266
gene197,MMP0177,699,601,518,703,657,740
gene198,MMP0178,2000,1119,1446,2109,1968,2148
gene199,MMP0179,7531,4812,5988,7835,7606,7578
gene2,--,0,0,0,0,0,0
gene20,MMP0015,935,505,680,905,810,880
gene200,MMP0180,1434,738,1085,1187,1042,1042
gene201,MMP0181,8124,2839,6115,1829,1517,1837
gene202,MMP0182,372,105,223,636,561,644
gene203,MMP0183,4404,2696,3842,5481,5234,5148
gene204,MMP0184,272,100,213,221,171,203
gene205,MMP0185,992,517,668,819,800,792
gene206,MMP0186,866,435,588,626,579,673
gene207,MMP0187,3122,2022,2505,2089,2072,1904
gene208,MMP0188,821,336,547,776,716,735
gene209,--,156,63,92,226,196,205
gene21,MMP0016,628,289,451,686,582,592
gene210,MMP0189,9,1,6,48,44,44
gene211,MMP0190,363,459,541,493,472,474
gene212,MMP0191,174,92,117,208,203,186
gene213,MMP0192,359,240,321,2129,2168,1898
gene214,MMP0193,51,14,30,79,70,71
gene215,MMP0194,2269,1516,2272,1282,1369,1455
gene216,MMP0195,19,7,10,105,95,105
gene217,MMP0196,40,29,33,153,151,166
gene218,MMP0197,2,1,5,31,32,43
gene219,MMP0198,100,36,70,108,107,112
gene22,MMP0017,1700,663,1098,1221,1108,1246
gene220,MMP0199,79,38,73,100,95,104
gene221,MMP0200,65,40,54,73,67,81
gene222,MMP0201,168,90,177,220,196,205
gene223,MMP0202,802,573,586,702,640,683
gene224,MMP0203,90,53,64,62,57,69
gene225,MMP0204,983,560,772,692,621,609
gene226,MMP0205,1057,541,950,498,518,403
gene227,MMP0206,208,72,138,327,281,286
gene228,MMP0207,455,163,283,391,454,400
gene229,MMP0208,101,40,77,285,250,270
gene23,MMP0018,343,119,236,498,480,469
gene230,MMP0209,520,297,432,409,426,415
gene231,MMP0210,281,114,207,147,130,138
gene232,MMP0211,31,10,25,120,96,119
gene233,MMP0212,6969,4119,5423,4683,4293,4353
gene234,MMP0213,1746,821,1167,1012,917,1070
gene235,MMP0214,1382,630,829,915,847,869
gene236,MMP0215,456,277,382,172,180,197
gene237,MMP0216,768,336,467,1550,1365,1389
gene238,MMP0217,53,21,40,172,162,177
