1,68,"RNA_46"
69,244,"RNA_38"
245,3402,"RNA_39"
3403,5109,"RNA_47"
5110,5285,"RNA_40"
5286,8443,"RNA_41"
8444,11517,"MMP0003"
11518,12647,"MMP0004"
12648,13625,"MMP0005"
13626,17602,"MMP0008"
17603,19370,"MMP0009"
19371,20506,"MMP0010"
20507,20974,"MMP0011"
20975,24061,"MMP0014"
24062,25243,"MMP0015"
25244,26061,"MMP0016"
26062,26673,"MMP0017"
26674,28670,"MMP0019"
28671,28989,"MMP0020"
28990,30411,"MMP0022"
30412,30743,"MMP0023"
30744,32916,"MMP0025"
32917,33256,"MMP0026"
33257,36828,"RNA_45"
36829,37119,"RNA_48"
37120,37295,"RNA_42"
37296,40358,"RNA_36"
40359,40534,"RNA_44"
40535,42181,"MMP0027"
42182,44777,"MMP0029"
44778,49388,"MMP0032"
49389,54975,"MMP0038"
54976,55876,"MMP0039"
55877,56946,"MMP0040"
56947,58605,"MMP0041"
58606,59643,"MMP0042"
59644,64389,"MMP0047"
64390,67114,"MMP0052"
67115,68156,"MMP0053"
68157,68893,"MMP0054"
68894,69515,"MMP0055"
69516,70102,"MMP0056"
70103,71296,"MMP0057"
71297,73629,"MMP0059"
73630,74160,"MMP0060"
74161,74409,"MMP0061"
74410,75129,"MMP0062"
75130,82185,"RNA_35"
82186,82661,"MMP0071"
82662,86570,"MMP0075"
86571,87608,"MMP0076"
87609,88705,"MMP0078"
88706,95381,"MMP0084"
95382,96131,"MMP0085"
96132,97177,"MMP0086"
97178,97761,"MMP0087"
97762,98977,"MMP0088"
98978,100130,"MMP0089"
100131,100750,"MMP0090"
100751,101838,"MMP0091"
101839,102523,"MMP0092"
102524,102895,"MMP0093"
102896,103274,"MMP0094"
103275,105895,"MMP0096"
105896,107786,"MMP0098"
107787,109297,"MMP0100"
109298,110490,"MMP0101"
110491,119995,"MMP0111"
119996,120542,"MMP0112"
120543,121832,"MMP0113"
121833,122675,"MMP0114"
122676,125209,"MMP0117"
125210,125924,"MMP0118"
125925,126554,"MMP0119"
126555,127261,"MMP0120"
127262,127660,"MMP0121"
127661,127981,"MMP0122"
127982,130264,"MMP0124"
130265,130979,"MMP0125"
130980,132540,"MMP0126"
132541,133625,"MMP0127"
133626,134996,"MMP0128"
134997,139445,"MMP0133"
139446,148268,"MMP0140"
148269,150629,"MMP0141"
150630,151531,"MMP0142"
151532,153055,"MMP0143"
153056,154198,"MMP0144"
154199,154822,"MMP0145"
154823,155411,"MMP0146"
155412,156832,"MMP0147"
156833,159965,"MMP0149"
159966,163925,"MMP0153"
163926,165135,"MMP0154"
165136,169144,"MMP0160"
169145,170597,"MMP0161"
170598,173152,"MMP0164"
173153,173677,"MMP0165"
173678,174448,"MMP0166"
174449,175831,"MMP0167"
175832,176801,"MMP0168"
176802,180131,"MMP0172"
180132,181696,"MMP0174"
181697,183704,"MMP0176"
183705,186183,"MMP0177"
186184,186678,"MMP0178"
186679,187497,"MMP0179"
187498,190641,"MMP0180"
190642,191240,"MMP0181"
191241,192024,"MMP0182"
192025,192407,"MMP0183"
192408,193271,"MMP0184"
193272,195229,"MMP0187"
195230,198646,"MMP0190"
198647,199808,"MMP0191"
199809,201999,"MMP0193"
202000,216559,"MMP0209"
216560,218916,"MMP0212"
218917,220652,"MMP0213"
220653,221545,"MMP0214"
221546,222645,"MMP0216"
222646,224723,"MMP0217"
224724,232456,"MMP0225"
232457,233476,"MMP0226"
233477,234309,"MMP0227"
234310,238007,"MMP0229"
238008,238779,"MMP0230"
238780,248102,"MMP0242"
