"ID","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene0","--",0,NA,NA,NA,NA,NA
"gene1","--",0,NA,NA,NA,NA,NA
"gene1088","--",10.5100423775096,3.12814160342473,0.720657355578042,4.34067810341801,1.42043681691572e-05,3.19643636194827e-05
"gene116","--",5.92298482891355,0.414997186143524,0.976773613286337,0.42486527123442,0.67093489263131,0.720406630601077
"gene117","--",0,NA,NA,NA,NA,NA
"gene118","--",0,NA,NA,NA,NA,NA
"gene119","--",0,NA,NA,NA,NA,NA
"gene120","--",0,NA,NA,NA,NA,NA
"gene121","--",0,NA,NA,NA,NA,NA
"gene122","--",0,NA,NA,NA,NA,NA
"gene123","--",0,NA,NA,NA,NA,NA
"gene1310","--",50.3314631341395,3.8957389929597,0.41779257511729,9.32457689528355,1.11427274190347e-20,8.07962374993381e-20
"gene1317","--",0.865684436956875,1.54358911665917,1.90712920829446,0.809378363010651,0.418297543956645,0.477048720033404
"gene1318","--",2.17558432291322,0.363669423455415,1.36674941612489,0.266083467214143,0.79017492742114,0.824753803956004
"gene1352","--",8.68813364334923,-0.144165569788348,0.726977017786144,-0.198308290717875,0.842803865449493,0.872002590089258
"gene1353","--",28.8252991235925,0.569390654989848,0.544513375242839,1.04568717845712,0.295705484367898,0.350864015795445
"gene1362","--",0,NA,NA,NA,NA,NA
"gene1507","--",6.74463073852614,4.07851750424593,1.15201804816756,3.54032431239541,0.000399635612994467,0.000761251837941893
"gene1538","--",0.155149312091034,0.607547137364098,4.0804728567969,0.148891356145673,0.88163936198375,0.900549887429198
"gene1580","--",9.90592608550866,0.879765787739108,0.644444641983287,1.36515339010596,0.17220484438808,0.217977683772842
"gene1593","--",22.4081945988499,1.68106164323203,0.444787871213823,3.77946826347676,0.000157163622384288,0.000314327244768576
"gene1594","--",1.57499183232107,0.635160876948097,1.71364584609851,0.370648858627459,0.710899086080139,0.752622286611759
"gene1698","--",0.155149312091034,0.607547137364098,4.0804728567969,0.148891356145673,0.88163936198375,0.900549887429198
"gene1699","--",0,NA,NA,NA,NA,NA
"gene1700","--",0,NA,NA,NA,NA,NA
"gene1701","--",0,NA,NA,NA,NA,NA
"gene1702","--",7.77548027774253,1.49407535230749,0.848036127318889,1.76180625350371,0.0781020378199613,0.10659627470083
"gene1703","--",0.288388085767972,1.4748650732568,3.48321509534688,0.423420613681603,0.671988407706758,0.720659509664825
"gene1733","--",33.6748343825478,1.47501237917168,0.380214698137319,3.87941967103796,0.000104705971321439,0.000214276331554444
"gene1751","--",2.11388617354297,-0.203266012181132,1.1454173980334,-0.177460210164543,0.859146916831835,0.884745268746006
"gene2","--",0,NA,NA,NA,NA,NA
"gene209","--",147.546717469441,0.733139963329009,0.169945378923622,4.31397410139939,1.60345738874794e-05,3.59909798595397e-05
"gene3","--",2.01142624598009,-1.26072099906234,1.31134226086662,-0.961397368700048,0.336352406815672,0.393005928918577
"gene32","--",0,NA,NA,NA,NA,NA
"gene33","--",0,NA,NA,NA,NA,NA
"gene34","--",0,NA,NA,NA,NA,NA
"gene35","--",0,NA,NA,NA,NA,NA
"gene36","--",0,NA,NA,NA,NA,NA
"gene361","--",0.452858070404802,-2.53597528672944,2.98591278514873,-0.84931324831148,0.395707010856523,0.453929526776819
"gene362","--",0.135687258463229,-1.31600621427839,4.0804728567969,-0.322513164641274,0.747063966185471,0.787747880561819
"gene365","--",0.310298624182068,1.56539948117929,4.03241533948788,0.388203929751465,0.697865125259421,0.742947375401257
"gene4","--",0,NA,NA,NA,NA,NA
"gene408","--",0.459075026413027,2.13151915226892,3.07142884467767,0.693982918068418,0.487692921490771,0.545596779470945
"gene409","--",0,NA,NA,NA,NA,NA
"gene485","--",174.422715811662,2.47837505989498,0.181755212173348,13.6357853525061,2.45335403364005e-42,3.89442324979618e-41
"gene5","--",0,NA,NA,NA,NA,NA
"gene736","--",7.80191189848969,2.99712089186857,0.872764042351681,3.43405633874737,0.000594620593395023,0.00111459732506599
"gene81","--",5.01581684148086,0.115815333210984,0.760524284523677,0.152283543823351,0.878963303666752,0.899380569721728
"gene811","--",38.0038490898923,3.55626683050808,0.441930372493074,8.04712020684619,8.47649172032629e-16,4.74145346387775e-15
"gene82","--",16.074019366544,0.774321708524878,0.55297088137183,1.4002938212658,0.161425350335927,0.205811481397904
"Novel00001","--",0,NA,NA,NA,NA,NA
"Novel00002","--",0,NA,NA,NA,NA,NA
"Novel00003","--",0.749095006320342,1.49805935131367,2.26656809940203,0.660937278570582,0.508652537895802,0.567244159349623
"Novel00004","--",0,NA,NA,NA,NA,NA
"Novel00005","--",0,NA,NA,NA,NA,NA
"Novel00006","--",1.83843127769088,1.32073368669328,1.30387445344138,1.01293010474084,0.311093547620888,0.366898815868811
"Novel00007","--",0,NA,NA,NA,NA,NA
"Novel00008","--",0,NA,NA,NA,NA,NA
"Novel00009","--",0,NA,NA,NA,NA,NA
"Novel00010","--",0,NA,NA,NA,NA,NA
"Novel00012","--",0,NA,NA,NA,NA,NA
"sRNA00001","--",0,NA,NA,NA,NA,NA
"sRNA00002","--",0,NA,NA,NA,NA,NA
"sRNA00003","--",1.34894163096491,3.69016842195095,1.85512918316412,1.98917059547141,0.0466823763135176,0.0669278657969228
"sRNA00004","--",0,NA,NA,NA,NA,NA
"sRNA00007","--",0,NA,NA,NA,NA,NA
"sRNA00008","--",632.828308437004,4.6372911374088,0.36260450553196,12.7888403664639,1.89277076312576e-37,2.56543237279045e-36
"sRNA00011","--",0,NA,NA,NA,NA,NA
